example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
scifact-127-21598000,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-128-8290953,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-129-27768226,scifact,other,Refuted,hit,2,0.75,Not Supported,Not Supported,Not Supported,
scifact-130-27768226,scifact,other,Supported,hit,1,0.75,Partially Supported,Partially Supported,Supported,
scifact-132-7975937,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-133-38485364,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-133-6969753,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-133-17934082,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-133-16280642,scifact,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-133-12640810,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-137-26016929,scifact,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scifact-141-6955746,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-141-14437255,scifact,other,Supported,hit,1,0.833,Partially Supported,Partially Supported,Partially Supported,
scifact-142-10582939,scifact,other,Refuted,hit,2,1.0,Not Supported,Not Supported,Not Supported,
scifact-143-10582939,scifact,other,Supported,hit,2,1.0,Supported,Partially Supported,Partially Supported,
scifact-146-10582939,scifact,other,Supported,hit,2,0.5,Supported,Supported,Supported,
scifact-148-1084345,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-163-18872233,scifact,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scifact-171-12670680,scifact,other,Refuted,hit,1,0.667,Not Supported,Not Supported,Not Supported,
scifact-179-16322674,scifact,other,Supported,hit,1,0.667,Partially Supported,Partially Supported,Partially Supported,
scifact-179-27123743,scifact,other,Supported,hit,1,1.0,Supported,Partially Supported,Supported,
scifact-179-23557241,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-179-17450673,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-180-16966326,scifact,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
scifact-183-12827098,scifact,other,Refuted,miss,,0.0,Partially Supported,NEI,NEI,
scifact-185-18340282,scifact,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
scifact-198-2177022,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-208-13519661,scifact,other,Supported,hit,1,1.0,Partially Supported,Not Supported,Partially Supported,
scifact-212-22038539,scifact,other,Refuted,hit,1,0.4,Not Supported,NEI,Not Supported,
scifact-213-13625993,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-216-21366394,scifact,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
scifact-217-21366394,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Supported,
scifact-218-21366394,scifact,other,Supported,hit,1,0.667,Supported,Partially Supported,Supported,
scifact-219-21366394,scifact,other,Refuted,hit,2,0.5,Not Supported,Not Supported,Not Supported,
scifact-230-3067015,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-232-10536636,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-233-4388470,scifact,other,Refuted,hit,1,1.0,NEI,Not Supported,Not Supported,
scifact-236-4388470,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-237-4942718,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-238-2251426,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-239-14079881,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-248-1568684,scifact,other,Supported,hit,1,0.667,Supported,Supported,Supported,
scifact-249-1568684,scifact,other,Refuted,hit,1,0.667,Not Supported,Not Supported,Not Supported,
scifact-261-1122279,scifact,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-261-10697096,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-268-970012,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-269-970012,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-274-11614737,scifact,other,Refuted,hit,1,0.5,Not Supported,Not Supported,Not Supported,
scifact-275-4961038,scifact,other,Supported,hit,1,1.0,Not Supported,Partially Supported,Partially Supported,
scifact-275-14241418,scifact,other,Supported,hit,3,1.0,Not Supported,NEI,NEI,
scifact-275-14819804,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-279-14376683,scifact,other,Supported,hit,3,1.0,Supported,Partially Supported,Supported,
scifact-294-10874408,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-295-20310709,scifact,other,Supported,hit,1,0.75,Partially Supported,Partially Supported,Partially Supported,
scifact-298-39381118,scifact,other,Supported,hit,1,1.0,Partially Supported,Supported,Partially Supported,
scifact-300-3553087,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-303-4388470,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-312-6173523,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-314-4347374,scifact,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scifact-324-2014909,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-327-17997584,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-338-23349986,scifact,other,Refuted,hit,1,0.75,Not Supported,Not Supported,Not Supported,
scifact-343-7873737,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-343-5884524,scifact,other,Supported,hit,2,1.0,NEI,NEI,NEI,
scifact-350-16927286,scifact,other,NEI,n/a,,0.0,NEI,NEI,Partially Supported,
scifact-354-8774475,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-362-38587347,scifact,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
scifact-380-19005293,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-384-13770184,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-385-9955779,scifact,other,Supported,hit,1,1.0,Partially Supported,Supported,Supported,
scifact-385-9767444,scifact,other,NEI,n/a,,0.0,NEI,Supported,Supported,
scifact-386-16495649,scifact,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scifact-388-1148122,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-399-791050,scifact,other,Supported,hit,1,0.5,Supported,Supported,Supported,
