example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
citint-227,citationintegrity,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
citint-220,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-379,citationintegrity,other,Refuted,miss,,0.0,Partially Supported,NEI,NEI,
citint-264,citationintegrity,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
citint-407,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,NEI,
citint-261,citationintegrity,other,Supported,near,,0.0,Partially Supported,NEI,NEI,
citint-238,citationintegrity,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
citint-105,citationintegrity,other,Refuted,hit,2,0.75,NEI,Partially Supported,Partially Supported,
citint-37,citationintegrity,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
citint-318,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-433,citationintegrity,other,Supported,hit,2,0.143,Not Supported,Not Supported,Not Supported,
citint-101,citationintegrity,other,Supported,miss,,0.0,NEI,Partially Supported,Partially Supported,
citint-403,citationintegrity,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
citint-527,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-317,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-165,citationintegrity,other,Supported,hit,1,0.667,Partially Supported,Partially Supported,Partially Supported,
citint-314,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-4,citationintegrity,other,Supported,near,,0.0,Supported,Supported,Partially Supported,
citint-478,citationintegrity,other,Supported,hit,1,0.5,Not Supported,Partially Supported,Partially Supported,
citint-110,citationintegrity,other,Supported,hit,1,1.0,NEI,Partially Supported,Partially Supported,
citint-595,citationintegrity,other,Supported,miss,,0.0,Partially Supported,NEI,Partially Supported,
citint-547,citationintegrity,other,Supported,hit,1,1.0,NEI,Partially Supported,Partially Supported,
citint-153,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-58,citationintegrity,other,Supported,hit,3,0.333,Not Supported,NEI,NEI,
citint-302,citationintegrity,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
citint-245,citationintegrity,other,Refuted,miss,,0.0,NEI,Partially Supported,Partially Supported,
citint-390,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-290,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-421,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-446,citationintegrity,other,Supported,hit,2,1.0,Not Supported,Supported,Partially Supported,
citint-39,citationintegrity,other,Supported,hit,2,0.25,Partially Supported,NEI,Partially Supported,
citint-589,citationintegrity,other,Supported,hit,3,1.0,Not Supported,Partially Supported,Partially Supported,
citint-470,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-75,citationintegrity,other,Supported,near,,0.0,Partially Supported,Supported,Supported,
citint-35,citationintegrity,other,Supported,hit,1,1.0,Not Supported,Partially Supported,Partially Supported,
citint-24,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-284,citationintegrity,other,Supported,hit,1,0.5,Supported,Supported,Supported,
citint-426,citationintegrity,other,Refuted,hit,2,1.0,Partially Supported,Supported,Partially Supported,
citint-545,citationintegrity,other,Supported,hit,2,0.667,Partially Supported,Partially Supported,Partially Supported,
citint-241,citationintegrity,other,Supported,hit,2,1.0,Not Supported,NEI,NEI,
citint-89,citationintegrity,other,Supported,hit,1,0.5,Supported,Supported,Supported,
citint-88,citationintegrity,other,Supported,hit,1,0.714,Not Supported,Partially Supported,Partially Supported,
citint-378,citationintegrity,other,Supported,hit,1,1.0,NEI,Supported,Supported,
citint-262,citationintegrity,other,Supported,near,,0.0,Not Supported,NEI,NEI,
citint-485,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,NEI,Partially Supported,
citint-462,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-40,citationintegrity,other,Supported,hit,2,0.5,Not Supported,Partially Supported,Partially Supported,
citint-19,citationintegrity,other,Supported,hit,1,1.0,Supported,Supported,Supported,
citint-117,citationintegrity,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
citint-114,citationintegrity,other,Supported,miss,,0.0,Supported,Supported,Supported,
citint-59,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-143,citationintegrity,other,Supported,miss,,0.0,Partially Supported,NEI,NEI,
citint-291,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-464,citationintegrity,other,Supported,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
citint-452,citationintegrity,other,Supported,hit,1,0.4,Partially Supported,Partially Supported,Partially Supported,
citint-434,citationintegrity,other,Supported,near,,0.0,Partially Supported,Not Supported,Not Supported,
citint-536,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-316,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-368,citationintegrity,other,Supported,hit,1,0.667,Partially Supported,Partially Supported,Partially Supported,
citint-31,citationintegrity,other,NEI,n/a,,0.0,NEI,NEI,NEI,
citint-212,citationintegrity,other,Supported,near,,0.0,NEI,Partially Supported,NEI,
citint-558,citationintegrity,other,Supported,hit,1,1.0,NEI,Supported,Supported,
citint-47,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-422,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-222,citationintegrity,other,Supported,near,,0.0,Supported,Supported,Supported,
