example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
sciciteval-53,sciciteval,other,Refuted,near,,0.0,Partially Supported,Not Supported,Not Supported,
sciciteval-54,sciciteval,other,Supported,near,,0.0,Supported,Supported,Supported,
sciciteval-55,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-56,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-57,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-58,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-59,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-60,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-61,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Partially Supported,Partially Supported,
sciciteval-62,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-63,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-64,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-65,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-66,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Supported,Supported,
sciciteval-67,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-68,sciciteval,other,Supported,near,,0.0,Supported,Partially Supported,Supported,
sciciteval-69,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-70,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Partially Supported,
sciciteval-71,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-72,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-73,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-74,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-75,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-76,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-77,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Supported,Partially Supported,
sciciteval-78,sciciteval,other,Supported,hit,1,1.0,Supported,Partially Supported,Partially Supported,
sciciteval-79,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-80,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-81,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-82,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-83,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Supported,Partially Supported,
sciciteval-84,sciciteval,other,Supported,miss,,0.0,Supported,Supported,Supported,
sciciteval-85,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-86,sciciteval,other,Supported,miss,,0.0,Supported,Supported,Supported,
sciciteval-87,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-88,sciciteval,other,Supported,miss,,0.0,Supported,Partially Supported,Supported,
sciciteval-89,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-90,sciciteval,other,Supported,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-91,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-92,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-93,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-94,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-95,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-96,sciciteval,other,Supported,near,,0.0,Supported,Partially Supported,Partially Supported,
sciciteval-97,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Partially Supported,
sciciteval-98,sciciteval,other,Supported,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-99,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
